Gender,Age,Annual_Income,Employment_Status,Years_of_Employment,Education_Level,Marital_Status,Number_of_Dependents,Existing_Loan_Amount,Monthly_Income,Credit_Score,Loan_Status,Credit_History,Number_of_Credit_Inquiries,Debt_to_Income_Ratio,Approval_Status
Female,52,131343.68,Employed,0.9,Bachelor,Married,1,1741.05,10384.95,799.0,None,Average,7,0.2042,Approved
Male,23,126655.49,Self-Employed,1.2,Bachelor,Married,1,2467.45,10002.86,596.0,None,Good,1,0.2244,Approved
Female,31,134071.36,Employed,8.1,Master,Single,0,36733.67,10728.62,580.0,None,Average,4,0.4992,Approved
Female,52,131593.66,Employed,0.5,High School,Single,0,35157.05,10026.88,716.0,Default,Poor,3,0.5151,Approved
Male,48,143508.06,Employed,4.3,PhD,Married,4,6580.14,11870.4,715.0,None,No History,3,0.1445,Approved
Male,34,91438.75,Unemployed,0.6,Bachelor,Single,3,31456.3,6981.57,625.0,None,Poor,1,0.5295,Rejected
Male,22,30575.34,Retired,4.0,Master,Single,4,5666.26,2198.18,714.0,None,Poor,3,0.2563,Approved
Male,47,52334.14,Self-Employed,2.6,Master,Single,1,19389.11,3923.05,523.0,None,Good,7,0.4057,Rejected
Male,45,132917.89,Employed,16.5,PhD,Divorced,3,64990.25,9786.52,616.0,None,Average,4,0.5019,Rejected
Female,61,48185.18,Employed,12.3,Bachelor,Single,1,22897.88,3590.5,764.0,None,Good,7,0.5936,Approved
Female,48,66844.86,Employed,3.0,High School,Single,0,9350.38,4952.05,593.0,Default,Good,4,,Approved
Female,45,74371.59,Unemployed,8.3,Bachelor,Single,0,14009.34,6135.09,644.0,None,Good,1,0.3026,Rejected
Female,26,109922.87,Unemployed,6.9,Bachelor,Married,2,30527.32,8520.41,627.0,None,No History,4,0.4955,Rejected
Female,33,46939.59,Unemployed,8.9,Bachelor,Single,1,20000.53,3840.18,371.0,None,Poor,5,0.7165,Rejected
Female,41,103116.98,Employed,11.7,High School,Married,3,50551.18,8341.79,628.0,Active,Good,1,0.6672,Approved
Female,50,100871.27,Employed,1.5,Bachelor,Single,4,49428.57,8232.39,648.0,None,Good,4,0.5942,Approved
Female,36,103313.72,Employed,2.1,Bachelor,Married,2,45164.5,7552.94,713.0,None,Good,2,0.6374,Rejected
Male,26,35682.66,Self-Employed,3.5,Bachelor,Single,4,5737.46,2733.04,605.0,None,Good,1,0.4006,Approved
Male,28,117273.76,Employed,1.2,High School,Single,1,44561.41,8577.38,554.0,Active,Poor,5,0.5187,Rejected
Male,63,89174.75,Unemployed,1.4,High School,Married,0,32878.96,6436.01,771.0,None,Good,3,0.3747,Approved
Male,30,122592.26,Employed,0.5,Bachelor,Divorced,1,34187.44,9447.43,453.0,Active,Good,7,0.4084,Rejected
Male,26,98750.73,Retired,1.0,High School,Single,0,3961.57,7287.67,597.0,Default,Poor,2,0.0456,Approved
Male,50,42215.39,Employed,13.3,Bachelor,Married,2,12065.43,3343.09,611.0,Active,Good,2,0.5374,Rejected
Male,46,119811.34,Employed,1.9,Other,Single,2,3104.52,8617.37,711.0,Closed,Good,1,0.1622,Approved
Female,37,35170.49,Retired,4.7,High School,Married,2,6134.93,2699.26,650.0,Default,Good,0,0.4296,Rejected
Male,60,113807.55,Self-Employed,6.9,Bachelor,Single,3,9312.64,8129.79,696.0,Closed,Good,4,0.1377,Approved
Male,59,112791.72,Unemployed,4.9,Bachelor,Married,0,42162.07,9257.85,689.0,Default,Average,6,0.547,Rejected
Female,26,142178.18,Retired,7.9,Master,Married,4,35219.21,11186.53,580.0,Closed,Good,5,0.5159,Approved
Female,22,119119.63,Employed,2.1,Master,Single,4,6589.21,9743.14,617.0,None,Average,3,0.1924,Approved
Male,51,97797.55,Employed,8.8,Master,Divorced,1,16749.02,7618.64,707.0,None,Good,5,0.2915,Approved
Female,60,133376.11,Self-Employed,4.2,Bachelor,Single,3,52689.21,11001.5,775.0,None,Good,4,0.6072,Approved
Female,31,78609.12,Self-Employed,4.5,Master,Single,4,14908.44,5679.42,654.0,None,Poor,4,0.2902,Approved
Female,27,65103.92,Employed,3.0,High School,Single,2,1069.22,5211.71,737.0,None,Poor,2,0.0587,Approved
Male,46,21702.28,Employed,0.4,Bachelor,Married,4,2001.63,1717.25,628.0,None,Good,6,0.2708,Approved
Male,49,81368.7,Employed,0.3,Bachelor,Single,2,18441.76,6338.12,561.0,None,Poor,1,0.387,Approved
Male,52,55399.24,Employed,19.3,High School,Married,1,24015.4,4545.57,763.0,Active,Good,7,0.4416,Approved
Male,53,92373.81,Employed,8.2,Bachelor,Single,2,44461.79,7375.45,660.0,Active,Average,3,0.6817,Approved
Female,39,95795.4,Employed,2.4,PhD,Single,3,39786.44,7290.14,550.0,Default,Poor,4,0.5381,Rejected
Female,37,132900.84,Self-Employed,11.2,Bachelor,Single,0,32213.73,10223.56,584.0,Active,Good,0,0.323,Rejected
Male,49,42318.31,Employed,1.6,High School,Single,0,8574.71,3141.59,665.0,None,Average,5,0.4515,Approved
Male,27,94528.27,Employed,2.6,High School,Married,1,19947.17,7686.06,571.0,None,Poor,1,0.2609,Approved
Female,56,113475.97,Employed,5.4,Master,Married,4,27447.28,8459.33,574.0,Default,Good,1,0.2512,Approved
Male,22,33857.77,Employed,4.0,High School,Single,0,11933.6,2430.06,850.0,Default,Good,7,0.4829,Rejected
Male,57,31905.67,Self-Employed,3.9,Master,Single,2,11681.06,2625.83,544.0,None,Good,4,0.5938,Rejected
Male,46,26707.45,Employed,0.2,Master,Single,0,2411.35,2115.43,,Default,No History,4,0.2322,Approved
Male,38,116858.39,Employed,5.2,Bachelor,Married,2,32759.92,8357.64,758.0,Active,Poor,4,,Approved
Female,42,61437.83,Retired,10.9,High School,Single,1,26930.21,4832.51,433.0,None,No History,1,0.4456,Rejected
Female,49,119734.48,Self-Employed,10.3,Bachelor,Single,0,45994.41,9082.75,833.0,None,Good,0,0.485,Approved
Female,57,25472.11,Retired,22.0,Master,Single,0,1394.19,1809.97,620.0,Active,No History,0,0.2586,Approved
Male,44,80762.2,Retired,3.6,Master,Married,1,1895.71,6339.91,743.0,Active,Good,0,0.0896,Approved
Female,40,149338.02,Employed,2.5,Master,Married,1,36676.4,10902.72,779.0,None,Poor,0,0.2918,Approved
Female,31,134069.91,Self-Employed,4.0,High School,Married,2,18863.03,9941.73,693.0,Default,Good,3,0.2525,Approved
Female,33,130656.9,Employed,3.3,PhD,Married,4,59221.14,10063.54,736.0,Active,Poor,2,0.5576,Approved
Female,61,63421.15,Employed,10.7,Bachelor,Married,4,27646.66,4681.56,575.0,None,Poor,2,0.6996,Approved
Female,49,53629.48,Employed,0.4,Bachelor,Married,2,26310.25,3928.23,697.0,None,Poor,0,0.5253,Approved
Female,52,129215.8,Self-Employed,7.8,High School,Married,3,44442.85,9786.19,694.0,None,Average,1,0.6281,Rejected
Male,34,146553.57,Unemployed,6.9,Bachelor,Married,2,43555.42,12155.78,593.0,None,Good,3,0.3046,Approved
Female,54,149626.19,Employed,7.9,High School,Divorced,4,22322.31,11395.62,551.0,Default,Good,7,0.1739,Approved
Female,36,131456.81,Employed,7.1,Bachelor,Single,4,64675.28,10896.43,635.0,Active,Good,0,0.5882,Approved
Female,36,90620.26,Retired,3.8,High School,Married,2,36103.02,6599.32,637.0,None,Average,3,0.4082,Approved
Female,40,75939.77,Employed,3.4,High School,Single,4,10213.65,5569.41,555.0,None,Good,7,0.2645,Approved
Female,52,105407.9,Employed,0.8,Master,Married,3,52001.02,8463.89,725.0,None,Good,7,0.4988,Approved
Female,53,134729.35,Self-Employed,8.7,Master,Single,1,26738.61,9682.28,717.0,None,Good,1,0.4917,Approved
Female,23,136508.77,Employed,1.8,Master,Single,3,59447.46,10684.27,768.0,Closed,Average,1,0.6231,Approved
Male,46,82517.5,Employed,0.9,Master,Single,2,29905.44,5887.03,771.0,None,Average,3,0.4365,Approved
Male,52,84765.44,Employed,28.0,Bachelor,Single,0,20906.42,6592.66,575.0,Closed,Good,3,0.3065,Approved
Female,44,75314.13,Employed,2.3,High School,Single,3,19010.98,5660.42,710.0,Active,Average,1,0.5125,Approved
Male,59,55987.61,Employed,6.6,Bachelor,Married,2,21723.2,4380.34,768.0,None,Good,3,0.6607,Approved
Male,34,86926.26,Self-Employed,4.5,Bachelor,Married,0,16997.63,6547.61,760.0,None,No History,0,0.3153,Approved
Female,31,134882.26,Self-Employed,5.5,High School,Single,0,29059.54,10299.43,602.0,None,Average,3,0.3918,Approved
Female,57,121632.74,Employed,3.0,Bachelor,Single,3,32835.11,9688.13,493.0,Active,Good,3,0.3509,Approved
Male,25,33430.16,Unemployed,3.3,Bachelor,Married,2,82.57,2612.29,579.0,None,Average,1,0.0994,Rejected
Female,36,142176.57,Unemployed,0.9,High School,Married,4,6675.24,11373.35,779.0,Closed,No History,7,0.0938,Approved
Female,38,100320.14,Employed,13.4,Master,Single,3,33933.96,8195.62,614.0,Active,No History,2,0.6205,Rejected
Female,29,132637.03,Employed,7.0,Bachelor,Married,4,37603.68,11042.04,655.0,Closed,Poor,0,0.3162,Approved
Male,39,132957.08,Employed,2.0,Bachelor,Single,0,24361.83,10042.15,728.0,None,Good,6,0.3523,Rejected
Female,55,41897.77,Employed,7.1,High School,Single,0,7956.09,3304.29,543.0,None,Good,1,0.4753,Approved
Female,64,81970.41,Employed,6.3,PhD,Single,2,747.27,6210.32,779.0,Default,Good,6,0.1384,Approved
Female,42,45292.58,Employed,4.8,Bachelor,Married,4,6451.31,3302.39,676.0,Active,Good,2,0.4213,Approved
Female,45,87922.54,Employed,1.0,Master,Married,0,24939.76,6363.27,676.0,None,Average,1,0.559,Approved
Male,42,126494.55,Retired,1.3,Master,Married,0,40896.06,10358.12,681.0,None,Good,7,0.4466,Rejected
Male,44,126939.86,Unemployed,4.9,Bachelor,Married,0,26907.75,9663.94,596.0,None,Good,4,0.2624,Approved
Male,27,91070.66,Employed,2.5,Master,Married,4,2661.75,6714.88,672.0,None,Average,0,0.3256,Rejected
Male,44,36691.26,Employed,1.6,Bachelor,Single,3,1571.45,2646.71,695.0,None,Average,0,0.2216,Rejected
Male,25,29091.11,Employed,1.6,High School,Single,1,9892.9,2293.41,780.0,None,No History,3,0.4374,Approved
Female,28,95461.75,Employed,7.0,Master,Married,1,4614.45,6867.8,658.0,Default,Good,0,0.2949,Approved
Female,60,22603.43,Employed,7.3,Master,Single,0,9516.42,1809.36,680.0,Closed,Poor,4,0.4489,Approved
Female,34,35294.37,Employed,2.1,Master,Married,0,9773.05,2600.32,557.0,Default,Good,2,0.5245,Approved
Female,57,70835.56,Self-Employed,2.5,High School,Single,1,22240.6,5461.26,526.0,Closed,Good,5,0.5774,Rejected
Female,55,42558.19,Employed,5.1,High School,Divorced,0,12238.95,3384.24,652.0,Closed,Good,4,0.5462,Approved
Female,26,39028.62,Self-Employed,0.4,High School,Married,1,9876.34,2943.83,649.0,Default,Poor,6,0.542,Rejected
Female,49,33736.41,Employed,5.3,Bachelor,Married,2,6518.9,2659.9,693.0,Active,Good,4,0.4275,Approved
Female,29,38492.42,Employed,1.8,Bachelor,Single,2,3421.33,2784.95,547.0,None,Good,7,0.1076,Approved
Male,58,75390.84,Self-Employed,1.1,High School,Married,2,15610.79,5463.36,639.0,None,Good,5,0.2601,Approved
Male,30,108526.73,Unemployed,4.8,Other,Married,4,657.71,7944.65,729.0,None,Average,1,0.1948,Approved
Female,46,36535.97,Unemployed,8.3,Other,Married,4,7206.29,2982.85,708.0,None,Average,5,0.315,Approved
Male,49,56317.8,Employed,1.5,Bachelor,Divorced,4,23234.82,4644.1,550.0,None,Poor,6,0.6104,Rejected
Female,25,115866.39,Employed,0.4,Bachelor,Single,2,38180.03,8949.07,631.0,None,No History,2,0.3509,Approved
Female,39,105978.18,Employed,1.0,High School,Married,4,29123.65,7752.12,657.0,Closed,Poor,5,0.5041,Approved
Female,29,69652.15,Employed,7.5,High School,Married,0,33426.99,5112.78,672.0,None,Good,6,0.4925,Approved
Female,36,125530.07,Employed,0.7,Bachelor,Married,0,58251.2,9921.81,575.0,Default,Good,6,0.4925,Rejected
Female,52,84486.22,Self-Employed,1.5,Bachelor,Single,1,26869.61,5997.87,709.0,None,Good,5,0.4562,Approved
Male,45,141860.45,Employed,0.9,High School,Single,4,48608.34,10125.01,,None,Poor,3,0.588,Approved
Female,23,58681.3,Employed,5.0,Master,Divorced,4,4696.61,4571.04,710.0,None,Good,1,0.2474,Approved
Male,63,60420.76,Employed,8.4,High School,Married,2,5680.3,4840.47,680.0,None,Average,0,0.2066,Approved
Female,54,118627.93,Self-Employed,3.2,PhD,Married,2,59096.54,9408.75,700.0,None,Good,3,0.6138,Approved
Male,41,23779.28,Employed,1.0,High School,Married,4,1105.63,1733.97,688.0,Active,Average,6,0.3088,Approved
Female,54,97917.97,Employed,5.9,Bachelor,Single,3,38427.76,7672.87,570.0,None,Good,5,0.4554,Rejected
Female,48,115636.2,Employed,13.5,Master,Divorced,4,10030.29,9633.96,680.0,Active,Average,5,0.2776,Approved
Male,25,43981.91,Employed,1.8,Bachelor,Married,4,1234.49,3314.53,661.0,None,No History,2,0.157,Approved
Female,46,30478.2,Employed,3.4,High School,Single,0,11889.74,2436.2,508.0,Default,Good,3,0.6197,Rejected
Male,44,27417.11,Self-Employed,11.8,High School,Married,1,3728.04,2038.75,579.0,None,Good,5,0.2646,Approved
Male,41,89214.69,Unemployed,2.1,Bachelor,Married,1,32672.59,6777.82,583.0,Closed,Average,2,0.6552,Rejected
Male,57,147568.62,Employed,4.2,High School,Married,2,22777.12,10925.97,561.0,None,Good,4,0.3369,Approved
Male,53,88040.82,Employed,9.8,Bachelor,Married,1,23883.09,6362.53,695.0,None,Good,6,0.4836,Approved
Male,22,32683.13,Employed,1.7,Bachelor,Divorced,3,5817.16,2667.21,780.0,Active,Poor,2,0.1936,Approved
Female,35,,Self-Employed,10.6,Bachelor,Married,3,5957.41,3815.0,629.0,None,Good,4,0.2631,Approved
Female,62,84715.63,Employed,2.4,Bachelor,Married,2,18682.85,6112.38,733.0,None,Good,2,0.2817,Approved
Male,35,138961.71,Employed,0.9,PhD,Single,3,38757.82,10769.0,690.0,Active,Average,1,0.3739,Rejected
Male,28,136218.66,Retired,4.8,Bachelor,Divorced,2,60100.79,10762.91,634.0,Active,Average,3,0.6631,Rejected
Male,24,149620.16,Unemployed,5.3,Bachelor,Single,2,51384.13,12430.53,556.0,Default,Good,2,0.5016,Approved
Male,58,90303.19,Unemployed,8.6,Bachelor,Single,3,14180.35,7198.19,625.0,None,Good,7,0.3053,Approved
Female,55,38456.36,Self-Employed,3.0,Master,Married,1,11801.82,2891.25,493.0,None,Good,6,0.4932,Rejected
Male,36,33824.68,Employed,18.0,High School,Single,2,11739.71,2529.07,687.0,Active,No History,0,0.4117,Approved
Male,59,124961.48,Employed,11.5,Bachelor,Married,2,56682.22,8943.74,569.0,Closed,Average,2,0.4537,Approved
Male,50,124306.06,Unemployed,0.1,High School,Divorced,0,18162.25,9549.4,646.0,Active,Good,2,0.3939,Approved
Female,39,133458.0,Employed,6.1,Bachelor,Married,4,4560.32,9641.08,625.0,None,Good,0,0.1067,Approved
Male,61,26258.57,Unemployed,4.5,Bachelor,Married,0,12985.23,2156.34,684.0,None,Poor,6,0.5182,Rejected
Male,41,87787.94,Employed,8.9,PhD,Single,2,21436.7,6288.15,721.0,Default,Good,4,0.2723,Approved
Female,60,61203.06,Self-Employed,11.2,Master,Married,4,5220.07,4667.7,690.0,None,Good,4,0.2747,Approved
Female,23,104789.15,Employed,4.6,Bachelor,Married,0,26525.6,8667.63,759.0,None,Good,6,0.3752,Approved
Male,21,78560.49,Employed,3.0,Bachelor,Single,3,8130.72,6029.16,604.0,None,Good,4,0.2646,Approved
Male,62,58153.55,Unemployed,2.5,Bachelor,Single,4,8274.15,4796.52,832.0,Active,Good,0,0.1764,Approved
Female,21,70683.41,Unemployed,1.5,High School,Married,4,10933.76,5651.6,677.0,None,Good,4,0.3702,Rejected
Female,40,109256.69,Self-Employed,2.4,High School,Single,3,20160.76,7895.37,711.0,None,No History,2,0.3634,Approved
Female,61,104038.51,Employed,0.7,PhD,Single,0,31865.62,8524.27,654.0,Active,Good,3,0.3578,Rejected
Male,32,58355.29,Employed,4.3,Master,Single,1,26555.59,4488.01,850.0,None,Poor,5,0.6227,Approved
Female,29,59820.75,Unemployed,8.6,High School,Single,3,17326.08,4827.27,761.0,None,Good,0,0.4189,Approved
Female,54,41691.83,Employed,0.8,Master,Single,0,7210.13,3177.54,629.0,None,Good,3,0.2749,Approved
Female,58,130128.13,Retired,4.1,Bachelor,Single,3,10889.1,10081.27,671.0,None,Good,1,0.2294,Approved
Male,47,40803.24,Retired,7.1,Bachelor,Divorced,4,5901.06,2902.14,742.0,Active,Poor,4,0.3953,Approved
Female,33,98894.05,Employed,0.9,High School,Single,4,41221.51,7192.38,850.0,None,Good,2,0.5237,Approved
Female,59,90827.6,Employed,4.4,Other,Divorced,4,20165.71,6621.23,,Active,Average,6,0.467,Rejected
Male,39,,Employed,3.9,Bachelor,Single,2,3055.85,3498.46,647.0,Active,Average,2,0.339,Rejected
Female,40,80681.67,Unemployed,17.5,Bachelor,Single,2,18664.72,5749.71,604.0,None,Good,7,0.2594,Approved
Male,35,98748.19,Employed,11.2,Other,Single,2,20124.1,8128.71,759.0,None,Poor,2,0.3844,Approved
Male,53,136101.73,Self-Employed,10.7,Master,Divorced,2,2095.29,9746.8,583.0,None,Poor,6,0.2034,Approved
Female,41,66633.02,Employed,15.8,High School,Married,2,33243.91,5389.86,578.0,Closed,Average,7,,Rejected
Male,57,20736.56,Employed,8.6,Bachelor,Single,0,7943.3,1711.74,595.0,None,Good,3,0.593,Rejected
Male,55,91386.94,Employed,0.0,Master,Married,2,23878.34,7195.3,788.0,None,Good,7,0.4658,Approved
Male,51,50209.96,Employed,8.1,Bachelor,Single,2,552.99,3732.9,703.0,None,Good,6,0.1539,Approved
Female,51,135525.68,Employed,4.9,Bachelor,Single,3,43171.08,10452.0,824.0,Active,Good,1,0.3911,Approved
Female,28,55283.22,Employed,1.7,High School,Single,1,22770.55,4259.13,546.0,Closed,Average,6,0.4282,Rejected
Male,42,111906.94,Unemployed,1.9,Bachelor,Divorced,2,46257.56,8014.43,716.0,Default,Good,2,0.4945,Approved
Male,32,107768.21,Employed,0.2,High School,Married,4,20888.11,7789.88,580.0,Active,No History,2,0.4471,Approved
Male,37,107894.07,Employed,5.0,Bachelor,Married,4,2599.49,8915.62,635.0,None,Good,4,0.1737,Approved
Female,27,119783.79,Unemployed,8.6,Bachelor,Married,1,12696.73,9108.32,510.0,Active,Good,0,0.3669,Rejected
Male,27,36344.15,Employed,4.3,Bachelor,Single,4,5222.83,2909.24,622.0,Closed,Good,2,0.3438,Approved
Female,44,128974.5,Employed,14.9,High School,Married,2,31783.48,10279.35,807.0,Default,Average,6,0.3455,Approved
Female,40,79139.46,Employed,9.7,Bachelor,Single,4,3022.53,5870.09,614.0,None,Average,6,0.2803,Approved
Female,32,20175.97,Self-Employed,5.2,Master,Married,3,8545.14,1504.74,623.0,None,Good,0,0.5876,Rejected
Female,61,141859.2,Retired,5.6,Bachelor,Divorced,3,67935.65,11118.14,593.0,None,Good,0,0.5506,Approved
Female,64,100565.49,Employed,9.4,Bachelor,Married,2,29078.43,8249.82,646.0,None,Good,2,0.5836,Approved
Female,44,114247.55,Employed,5.9,Other,Married,1,447.94,8862.01,,None,Average,3,0.073,Approved
Female,25,100718.12,Unemployed,7.0,Bachelor,Divorced,1,9080.14,8303.36,619.0,Active,Good,6,0.1033,Approved
Male,31,70941.58,Employed,3.4,Bachelor,Single,2,34801.94,5609.51,672.0,Active,No History,0,0.5563,Approved
Male,49,138026.84,Unemployed,16.1,Master,Single,4,65762.67,11405.1,584.0,None,Good,1,0.7036,Approved
Male,40,93461.09,Employed,0.0,Master,Single,4,17616.74,7521.62,624.0,Active,Poor,3,0.2571,Approved
Male,47,23792.07,Retired,5.4,Bachelor,Married,1,10722.88,1828.29,649.0,None,Average,5,0.57,Rejected
Male,40,118054.45,Employed,2.2,Master,Divorced,1,58581.11,9717.49,658.0,Closed,No History,4,0.6654,Rejected
Male,31,117730.38,Self-Employed,13.0,Bachelor,Married,1,40001.84,8675.79,697.0,None,Poor,0,0.6249,Rejected
Male,27,136232.26,Employed,7.6,Bachelor,Married,1,60547.57,11261.51,634.0,None,Average,1,0.5058,Approved
Male,35,134334.55,Self-Employed,0.5,Master,Single,2,56140.15,10287.79,723.0,Closed,Average,4,0.6359,Rejected
Female,43,141031.3,Employed,4.5,Bachelor,Single,3,36845.14,10680.46,783.0,None,Good,4,0.4782,Approved
Female,48,60310.99,Employed,5.1,Master,Married,0,25584.69,4823.67,844.0,None,Good,6,0.6071,Approved
Male,56,148031.59,Employed,5.4,Bachelor,Single,2,30677.31,11881.23,766.0,Active,Good,1,0.42,Approved
Female,45,36892.38,Employed,7.6,High School,Single,0,3174.39,2871.5,512.0,Closed,Good,0,0.3659,Rejected
Female,37,24011.53,Employed,5.5,PhD,Married,4,10283.38,1716.39,620.0,None,Good,6,0.6577,Approved
Female,24,69966.16,Employed,6.0,Bachelor,Married,1,21546.49,4977.97,613.0,Active,Average,1,0.4392,Approved
Female,25,113399.01,Self-Employed,4.0,Master,Single,3,12855.33,9255.21,689.0,Closed,Average,2,0.373,Rejected
Female,34,101233.63,Employed,8.9,High School,Single,2,31787.03,7894.21,607.0,None,Good,3,0.5162,Approved
Female,25,115250.88,Retired,5.8,Master,Married,4,4155.43,8746.38,607.0,None,Poor,5,0.1482,Approved
Male,49,33178.48,Retired,1.6,High School,Married,1,15174.69,2465.38,513.0,Default,Average,7,0.4776,Rejected
Female,38,111592.08,Employed,1.5,Master,Single,1,28834.83,8494.1,561.0,Active,Good,2,0.339,Approved
Female,40,58647.8,Self-Employed,4.6,Bachelor,Married,3,2700.59,4221.71,517.0,None,Average,1,0.1263,Approved
Female,56,52438.17,Self-Employed,1.2,Master,Married,2,23151.29,3715.69,822.0,None,Average,2,0.6732,Approved
Male,56,142154.7,Employed,6.5,Master,Single,1,52555.18,10461.08,571.0,Closed,Good,5,0.6628,Approved
Male,35,126242.8,Unemployed,5.6,Master,Single,1,45072.01,9751.3,671.0,None,Good,7,0.5532,Rejected
Female,25,30028.87,Employed,2.2,Other,Married,1,11001.58,2469.06,528.0,Closed,Poor,1,0.5455,Approved
Female,33,122280.04,Self-Employed,15.0,Bachelor,Divorced,2,47123.21,9269.0,515.0,Default,Poor,0,0.6616,Rejected
Male,41,73474.13,Self-Employed,5.1,Bachelor,Married,1,18347.66,6006.87,657.0,Closed,Average,1,0.4445,Approved
Female,42,85342.06,Employed,0.6,High School,Single,2,17481.09,6104.99,713.0,None,Average,1,0.3275,Approved
Male,40,78006.16,Employed,0.0,Bachelor,Married,3,9749.09,6311.2,648.0,Closed,Good,7,0.291,Approved
Male,52,122226.51,Employed,1.3,High School,Divorced,0,6268.26,9623.63,537.0,Active,Poor,0,0.0746,Approved
Male,23,73887.09,Employed,1.8,Bachelor,Married,4,15187.25,5245.91,587.0,Closed,Average,7,0.4137,Rejected
Female,64,86941.34,Employed,0.6,Bachelor,Single,3,5147.58,6333.71,593.0,None,Average,1,0.2415,Approved
Male,63,92394.2,Employed,2.8,Bachelor,Married,2,31366.84,7024.78,549.0,Active,Good,7,0.5501,Approved
Male,49,77082.42,Employed,7.2,Master,Single,2,7874.6,6404.68,568.0,None,Average,0,0.3876,Approved
Female,52,112903.37,Unemployed,6.6,Bachelor,Single,0,30238.72,9241.47,652.0,Closed,Good,0,0.4073,Approved
Female,22,72593.93,Unemployed,4.0,Bachelor,Married,1,32731.66,5581.58,647.0,Default,Good,7,0.5133,Rejected
Male,38,68810.96,Employed,2.8,Bachelor,Single,4,19234.7,5565.5,634.0,None,Good,4,0.4134,Approved
Male,51,112139.54,Employed,3.3,Bachelor,Married,3,35435.46,7954.94,702.0,Active,Average,1,0.5478,Approved
Male,52,87341.05,Unemployed,5.6,Master,Divorced,3,32414.59,6339.86,558.0,Closed,Average,6,0.5699,Rejected
Male,46,135586.63,Employed,3.2,Bachelor,Divorced,4,48321.56,10585.03,567.0,Closed,Average,7,0.4171,Rejected
Female,31,44429.65,Employed,6.0,Bachelor,Married,3,9860.25,3189.85,681.0,Active,Average,6,0.4198,Approved
Female,50,55036.54,Self-Employed,4.5,High School,Single,1,18216.24,4029.77,568.0,Active,Good,6,0.5775,Rejected
Female,48,48240.02,Employed,1.5,Master,Single,4,21205.97,3696.79,706.0,Closed,Poor,2,,Approved
Female,49,76734.55,Employed,8.4,Master,Married,4,2580.43,6074.92,668.0,Closed,No History,7,0.2816,Approved
Female,35,59523.94,Employed,16.2,Master,Single,2,10727.01,4452.96,619.0,None,Poor,2,0.302,Approved
